Merk,Soort,Percentage alcohol,Brouwerij
Gildenbier,"hoge gisting, bruin",7%,Brouwerij Haacht,?-?
Ginder Ale,"hoge gisting, amber","5,1%",InBev,1928-heden
Glutaner,glutenvrij pilsener,"5,2%",Brouwerij Huyghe,?-?
Goedendag,goudblond,8%,Brouwerij Toye,?-?
Goeie Koffe,stout,"9,5%",Brouwerij DijkWaert,2011-heden
Goliath Blonde,"hoge gisting, blond","5,5%",Brasserie des Légendes,?-?
Goliath Triple,"hoge gisting, tripel",9%,Brasserie des Légendes,?-?
Golden Kenia,pils,"5,1%",Brouwerij Huyghe,1945-heden
Golding Campina,pils,"4,8%",Alken-Maes,1930-heden
Gold Pils,pils,5%,Brouwerij Bavik,?-heden
"Gordon 0,00",alcoholvrij,0%,Group John Martin,?-?
Gordon Finest Chrome,hoge gisting,"10,5%",Group John Martin,?-?
Gordon Finest Copper,hoge gisting,"6,6%",Group John Martin,?-?
Gordon Finest Gold,hoge gisting,10%,Group John Martin,1992-heden
Gordon Finest Platinum,hoge gisting,12%,Group John Martin,?-?
Gordon Finest Red,"hoge gisting, rood","8,4%",Group John Martin,2001-heden
Gordon Finest Scotch,scotch,"8,6%",Group John Martin,?-heden
Gordon Finest Silver,hoge gisting,"7,7%",Group John Martin,2001-heden
Gordon Finest Zero,alcoholvrij,0%,Group John Martin,?-?
Gordon Five,pils,5%,Group John Martin,?-?
Gordon Xmas,kerstbier,"8,8%",Group John Martin,?-heden
Goud Vuur,"amber, tripel",9%,Brouwerij DijkWaert,2010-2013
Gouden Arend 125,goudblond,"8,5%",Brouwerij De Ryck,2011-2011
Gouden Carolus Ambrio,amber,8%,Brouwerij Het Anker,1980-heden
Gouden Carolus Christmas,donker speciaalbier,"10,5%",Brouwerij Het Anker,2002-heden
Gouden Carolus Classic,donker speciaalbier,"8,5%",Brouwerij Het Anker,?-heden
Gouden Carolus Cuvée van de Keizer Imperial Blond,blond speciaalbier,10%,Brouwerij Het Anker,2008-heden
Gouden Carolus Cuvée van de Keizer Imperial Dark,robijnrood speciaalbier,11%,Brouwerij Het Anker,1999-heden
Gouden Carolus Cuvée van de Keizer Whisky Infused,blond speciaalbier,"11,7%",Brouwerij Het Anker,2015-heden
Gouden Carolus Easter,donker speciaalbier,10%,Brouwerij Het Anker,?-heden
Gouden Carolus Hopsinjoor,blond speciaalbier,8%,Brouwerij Het Anker,2008-heden
Gouden Carolus Tripel,tripel,9%,Brouwerij Het Anker,?-heden
Gouden Pier Kloeffe,"hoge gisting, tripel","8,1%",Brouwerij Slaapmutske,?-?
Goudster,,"6,0%",Verenigde Brouwers,?-?
Gouyasse Tradition,"hoge gisting, blond",6%,Brasserie des Géants,?-?
Gouyasse Triple,triple,9%,Brasserie des Géants,?-?
Grand Cru Bruocsella,lambiek,5%,Brasserie Cantillon,?-?
Green Buzz,biologisch,6%,Brasserie Millevertus,?-?
Grelotte,kerstbier,9%,Brasserie Grain d'Orge,?-?
Gribousine Blonde,hoge gisting,"8,5%",Brasserie La Binchoise,?-?
Gribousine Brune,hoge gisting,8%,Brasserie La Binchoise,?-?
Gribousine Hiver,winterbier,"8,5%",Brasserie La Binchoise,?-?
Griboval,hoge gisting,"6,5%",Scouts Moen 50 jaar,?-?
Grimbergen Blond,abdijbier hoge gisting,"6,7%",Alken-Maes,1993-heden
Grimbergen Cuvée de l'Ermitage,hoge gisting,"7,5%",Alken-Maes,?-heden
Grimbergen Dubbel,hoge gisting,"6,5%",Alken-Maes,1958-heden
Grimbergen Goud 8°,"hoge gisting, blond",8%,Alken-Maes,2008-heden
Grimbergen Optimo Bruno,hoge gisting,10%,Alken-Maes,1988-heden
Grimbergen Selection,"donker, dubbel",7%,Alken-Maes,?-heden
Grimbergen Tripel,tripel,9%,Alken-Maes,1962-heden
Grimbergen Winter,winterbier,6.5%,Alken-Maes,2012-heden
Grisette Ambrée,amber,5%,Brouwerij St-Feuillien,?-?
Grisette Blanche,witbier,5%,Brouwerij St-Feuillien,?-?
Grisette Blonde,blond,"4,5%",Brouwerij St-Feuillien,?-?
Grisette Cérise,fruitbier,"3,5%",Brouwerij St-Feuillien,?-?
Grisette Country Cool,,"3,5%",Brouwerij St-Feuillien,?-?
Grisette Fruits des Bois,fruitbier,"3,5%",Brouwerij St-Feuillien,?-?
Groenen tuinbier,,"8,5%",Brouwerij Van Steenberghe,?-?
Grotten Flemish Ale,"hoge gisting, Belgian strong ale","7,7%",Brouwerij St-Bernardus,?-heden
Grottenbier,hoge gisting,"6,5%",Brouwerij St-Bernardus,?-heden
Gruut Amber,amber,"6,6%",Stadsbrouwerij Gruut,2009?-heden
Gruut Blond,blond,"5,5%",Stadsbrouwerij Gruut,2009?-heden
Gruut Bruin,bruin,8%,Stadsbrouwerij Gruut,2009?-heden
Gruut Inferno,goud,9%,Stadsbrouwerij Gruut,?-heden
Gruut Wit,witbier,5%,Stadsbrouwerij Gruut,?-heden
Guido,hoge gisting,8%,Brouwerij De Regenboog,?-?
Gulden Delle,mengbier,"8,5%",Brouwerij De Vlier,2010-heden
Gulden Draak,"hoge gisting, donker","10,5%",Brouwerij Van Steenberge,?-heden
Gulden Draak Vintage,"hoge gisting, kerst","17,5%",Brouwerij Van Steenberge,?-heden
Gulden Draak 9000 Quadruple,"hoge gisting, donker","10,5%",Brouwerij Van Steenberge,2011-heden
Guldenberg,donkerblond abdijbier,"8,5%",Brouwerij De Ranke,1994-heden
Gypsy Rose,amber,9%,Brasserie Sainte-Hélène,2005-heden
Haanse Witte,witbier,"5,5%",den Haene,2006-heden
Halleschelle,blond,"8,5%",Brouwerij Alvinne,2004-2016
Halleschelle,blond,"8,2%",Brouwerij De Leite,2017-heden
Hanssens Lambic Experimental Cassis,"lambiek, fruitbier",4%,Brouwerij Hanssens,?-?
Hanssens Lambic Experimental Raspberry,"lambiek, fruitbier",4%,Brouwerij Hanssens,?-?
Hapkin,"hoge gisting, blond","8,5%",Alken-Maes,?-heden
Harelbekenaar van de abdijhoeve,"roodbruin, etiketbier",6%,Brouwerij Van Eecke,1955-heden
Hector,"hoge gisting, tripel","8,2%",Brouwerij De Graal,?-heden
Heer van Biesen,"blond, Brett-bier","6,2%",De Proefbrouwerij,?-?
Heksemiebier,hoge gisting,"6,2%",Microbrouwerij Achilles,2005-heden
Hellekapelle,blond,5%,Brouwerij De Bie,?-?
Helleketelbier,amber,7%,Brouwerij De Bie,?-?
Hengstenbier,"roodbruin, hoge gisting",5%,Brouwerij Strubbe,1928-?
Hercule Stout,stout,9%,Brasserie des Légendes,?-?
Herkenrode Bruin,"abdijbier, bruin",7%,Brouwerij Sint-Jozef,2009-heden
Herkenrode Tripel,"abdijbier, tripel",7%,Brouwerij Sint-Jozef,2009?-heden
Hertalse Poorter,"hoge gisting, blond","6,5%",Brouwerij Slaghmuylder,?-?
Hertenheer,"hoge gisting, amber","6,5%",Brouwerij Het Nest,2009-heden
Hervoise,hoge gisting,"8,2%",Brasserie Grain d'Orge,
Hik Blond,"hoge gisting, ale","6,5%",Brouwerij Het Alternatief,2005-heden
Hik Bruin,hoge gisting,"6,5%",Brouwerij Het Alternatief,?-heden
Himelein,hoge gisting,6%,Brouwerij Vissenaken,
Hoegaarden,"hoge gisting, witbier","4,9%",Brouwerij De Kluis,1966-heden
"Hoegaarden 0,0",alcoholvrij witbier,0%,Brouwerij De Kluis,?-?
"Hoegaarden 0,0 Rosée",alcoholvrij fruitbier,0%,Brouwerij De Kluis,?-he'den
Hoegaarden Citron,fruitbier,3%,Brouwerij De Kluis,2008-heden
Hoegaarden Grand Cru,hoge gisting,"8,5%",Brouwerij De Kluis,?-?
Hoegaarden Rosée,fruitbier,3%,Brouwerij De Kluis,2007-heden
Hoegaarden Spéciale,"hoge gisting, goudblond","5,7%",Brouwerij De Kluis,?-heden
Hoegaarden Verboden Vrucht,fruitbier,"8,8%",Brouwerij De Kluis,?-heden
Hof Korvatunturi,"hoge gisting, bruin",11%,'t Hofbrouwerijke,2008-heden
Hof ten Dormaal Amber,hoge gisting,"7,5%",Brouwerij Hof ten Dormaal,2009-heden
Hof ten Dormaal Blond,hoge gisting,8%,Brouwerij Hof ten Dormaal,2010-heden
Hof ten Dormaal Donker,hoge gisting,"8,5%",Brouwerij Hof ten Dormaal,2010-heden
Hof ten Dormaal Winter 10,hoge gisting,8%,Brouwerij Hof ten Dormaal,2009-2010
Hofblues,stout,"5,5%",'t Hofbrouwerijke,?-?
Hofdraak,bruin,"6,5%",'t Hofbrouwerijke,2006-heden
Hofelf,tarwetripel,"7,5%",'t Hofbrouwerijke,2007-heden
Hofnar,amber,9%,'t Hofbrouwerijke,?-heden
Hofpint,"hoge gisting, pils","5,5%",'t Hofbrouwerijke,?-?
Hoftrol,amber,"6,2%",'t Hofbrouwerijke,?-?
Holger,pils,5%,Brouwerij Martens,?-?
Holsbeek Lentetripel,tripel,"8,5%",Brouwerij De Vlier,?-?
Hommelbier,"goudkleurig, hoge gisting","7,5%",Brouwerij Van Eecke,1981-heden
Hop Harvest,sterk donker,8%,Brouwerij De Ranke,2010-?
Hopkikker,,7%,Brouwerij Boelens,?-?
Hop Ruiter,tripel,8%,Scheldebrouwerij,2010-?
Hopjutters Triple Hop,India Pale Ale,"7,3%",De Hopjutters,?-?
Hop-La,tripel,?%,Brouwerij Vermylen,?-?
Hoppa Hontas,India Pale Ale,"6,5%",Brouwerij Maenhout,2012-heden
Hoppe,pils,5%,Brouwerij Van Steenberge,?-?
Hoppesnoet,Belgian ale,"8,5%",Huisbrouwerij Den Tseut,?-?
Hopus,"hoge gisting, goudblond","8,3%",Brouwerij Lefebvre,2008-heden
Hopverdomme,imperial/double IPA,"7,5%",De Struise Brouwers,?-?
Hop Verdomme IPA,IPA,7%,Brouwerij Kerkom,?-?
Horal's Oude Geuze Mega Blend,geuze,7%,"3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens","2009, 2011,"
Horse-Ale,Spéciale belge,5%,AB-InBev,?-?
Horst bier,"lage gisting, blond","6,5%",Brouwerij Haacht,?-?
Hotteuse Grand Cru,donker,8%,Affligem Brouwerij,?-?
Houblon Chouffe Dobbelen IPA Tripel,India Pale Ale,9%,Brouwerij d'Achouffe,2006-heden
Hougaerdse Das,"hoge gisting, amber","5,1%",Brouwerij De Kluis,1996-2009
Houten Kop,speciaalbier,"6,5%",Brouwerij Strubbe,1988-heden
Huardis,witbier,"5,2%",Brouwerij Nieuwhuys,2009-heden
Ichtegem’s grand cru,,"6,5%",Brouwerij Strubbe,2006-heden
Ichtegem's Oud Bruin,"roodbruin, hoge gisting",5%,Brouwerij Strubbe,1928-heden
Ignis & Flamma,IPA,7%,De Struise Brouwers,2007-heden
Inglorious Quad,Quadrupel,"10,3%",Inglorious Brew Stars,?-?
IM-JIN,amber,"7,5%",Brasserie Grain d'Orge,?-?
Iris,"spontane gisting, amber",6%,Brouwerij Cantillon,1996-heden
Irma,fruitbier,6%,voor bierfirma Vacas,?-heden
Itters Bruin,tafelbier,"1,3%",Brouwerij Sint-Jozef,?-heden
Jack'Ouille,blond,"5,5%",Brasserie de Bouillon,?-?
Jack-Op,,,Brouwerij Jack-Op,1869-1965
Jack-Op,gemengde gisting,"5,5%",Brouwerij Boon,2010-heden
Jaded Stillwater Artisanal,Belgo/american ale,10%,De Struise Brouwers,?-?
Jambe-de-bois,tripel,8%,Brasserie de la Senne,?-heden
Jan Buuc,etiketbier,"7,5%",Brouwerij Het Sas,1955-heden
Jan De Lichte,witbier,7%,Brouwerij De Glazen Toren,2005-heden
Jan van Gent,blond,"5,5%",Brouwerij Liefmans,?-?
Jan van Oudenaarde,blond,8%,Brouwerij Slaapmutske,2012-heden
Janus Triple,tripel,8%,Brouwerij De Ranke,?-?
Jean Nicot,"tripel, tabaksbier","8,5%",Brouwerij De Graal,2011-heden
Jeanke,Blonde,,Brasserie St. Jean,?-?
Jef,Saison,6%,brouwerij De Neus,2017-heden
Jessenhofke Arvum,"hoge gisting, biologisch",6%,Brouwerij Jessenhofke,2013-heden
Jessenhofke Bière de Garde,"hoge gisting, biologisch",9%,Brouwerij Jessenhofke,2010-heden
Jessenhofke Bruin,"hoge gisting, biologisch",7%,Brouwerij Jessenhofke,2009-heden
Jessenhofke Lichtblond,,3.5%,Brouwerij Jessenhofke,2011-heden
Jessenhofke Maya,"hoge gisting, biologisch",6%,Brouwerij Jessenhofke,2009-heden
Jessenhofke Pimpernelle,"hoge gisting, biologisch",8%,Brouwerij Jessenhofke,2010-heden
Jessenhofke Reserva,"hoge gisting, biologisch",9%,Brouwerij Jessenhofke,2010-heden
Jessenhofke Schelpje,"hoge gisting, biologisch",9%,Brouwerij Jessenhofke,2014-heden
Jessenhofke Tafelbier,,3.5%,Brouwerij Jessenhofke,2011-heden
Jessenhofke Tripel,"hoge gisting, biologisch, tripel",8%,Brouwerij Jessenhofke,2002-heden
Jezuwiet,"hoge gisting, tripel","8,5%",Brouwerij Boelens,2010-2010
Johannes,streekbier,"6,5%",bierfirma Johannes,2007-heden
Joseph,"hoge gisting, blond, spelt","5,4%",Brasserie de Silenrieux,1991-heden
Joseph Bio,"hoge gisting, blond, spelt","5,4%",Brasserie de Silenrieux,?-heden
Joup,hoge gisting,"7,5%",Brasserie Grain d'Orge,2003-heden
Julius,"hoge gisting, bruin","8,7%",Brouwerij De Kluis,1987-? en 2012-heden
Judas,"hoge gisting, okerblond","8,5%",Alken-Maes,1986-heden
Jules de Bananes,"fruitbier, wit","4,9%",Brouwerij De Ryck,2006-heden
Jules de Kriek,"fruitbier, robijnrood","4,9%",Brouwerij De Ryck,2006-heden
Jupiler,pils,"5,2%",Brouwerij Piedbœuf,1966-heden
Jupiler Blue,"lage gisting, pils","3,3%",Brouwerij Piedbœuf,2006-heden
Jupiler NA,alcoholarm,"0,5%",Brouwerij Piedbœuf,?-heden
Jupiler New Tauro,lage gisting,"6,2%",Inbev,2012-heden
Jupiler Tauro,lage gisting,"8,3%",Inbev,2008-2012
Kalle,tripel,8%,Brouwerij Gulden Spoor,2007-heden
Kameleon Amber,biologisch,"6,5%",Brouwerij Den Hopperd,1996?-heden
Kameleon Donker,biologisch,6%,Brouwerij Den Hopperd,1996?-heden
Kameleon Ginseng,biologisch,"6,5%",Brouwerij Den Hopperd,1996?-heden
Kameleon Tripel,biologisch,"8,5%",Brouwerij Den Hopperd,1996?-heden
Kamil,hoge gisting,"6,5%",bierfirma BVG,2004-heden
Kapel van Viven Blond,blond,"6,8%",Beerdevelopment Viven,1999-2003 en 2006-heden
Kapel van Viven Bruin,bruin,"6,6%",Beerdevelopment Viven,1999-2003 en 2006-heden
Kapittel Abt,bruin,10%,Brouwerij Van Eecke,1964-heden
Kapittel Blond,blond,"6,5%",Brouwerij Van Eecke,?-heden
Kapittel Dubbel,bruin,"7,5%",Brouwerij Van Eecke,?-heden
Kapittel Pater,bruin,6%,Brouwerij Van Eecke,1955-heden
Kapittel Prior,bruin,9%,Brouwerij Van Eecke,?-heden
Kapittel Tripel Abt,tripel,10%,Brouwerij Van Eecke,1964-heden
Karlsquell,pils,"4,6%",Brouwerij Martens,?-heden
Kastaar,blond,6%,Brouwerij De Block,1982-heden
Kasteel Blond,"blond, hoge gisting",7%,Brouwerij Van Honsebrouck,?-heden
Kasteel Cuvée du Château,donker,11%,Brouwerij Van Honsebrouck,?-heden
Kasteel Donker,donker,11%,Brouwerij Van Honsebrouck,1989-heden
Kasteel Hoppy,blond,"6,5%",Brouwerij Van Honsebrouck,2013-heden
Kasteel Rouge,kriek,8%,Brouwerij Van Honsebrouck,2007-heden
Kasteel Tripel,tripel,11%,Brouwerij Van Honsebrouck,1989-heden
Kasteelbier Blond,blond,11%,Brouwerij Van Honsebrouck,1989-heden
Kasteelbier Bruin,bruin,11%,Brouwerij Van Honsebrouck,1989-heden
Kasteelbier Ooidonk,etiketbier,11%,Brouwerij Van Honsebrouck,1989-heden
Kastel,amber,7%,De Proefbrouwerij in opdracht van De Kastelse Biervereniging,2006-?
Kastels pompoenbier,"tarwebier, met pompoen",6%,De Proefbrouwerij in opdracht van De Kastelse Biervereniging,
Katje Special,"hoge gisting, ale",6%,Brouwerij Het Sas,1955-heden
Kd blond,"hoge gisting, blond","6,2%",brouwerij Kadee,2014-heden
Kd bruin,"hoge gisting, ale",7%,brouwerij Kadee,2016-heden
Kd tripel,"hoge gisting, tripel",8%,brouwerij Kadee,2016-heden
Keikop Saison,saison,"6,5%",Brouwerij De Kassei,2013-heden
Keikop Tripel,tripel,"8,7%",Brouwerij De Kassei,2009-heden
Keikop Weizen,amber,6%,Brouwerij De Kassei,2017-heden
Keikoppenbier,"blond, biologisch","6,1%",Brouwerij De Plukker,2012-heden
Keizer Karel,bruin,9%,Brouwerij Haacht,'70-1999
Keizer Karel Robijn Rood,robijnrood,"8,5%",Brouwerij Haacht,1999-heden
Keizer Karel Goud Blond,blond,"8,5%",Brouwerij Haacht,2006-heden
Keizersberg,abdijbier,9%,Brouwerij Van Steenberge,1994-heden
Kempisch Vuur 3-Dubbel,bruin,"7,5%",De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman,2006-heden
Kempisch Vuur Haverstout,donkere stout,"6,5%",De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Hoppergod,blond,6%,De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Jeneverbes,blond,"6,5%",De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Tripel,tripel,"7,5%",De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman,2000-heden
Kerasus,donkerrood,"5,5%",Brouwerij Alvinne,?-?
Kerelsbier Donker,etiketbier,"6,4%",Brouwerij Het Sas,1955-heden
Kerelsbier Licht,etiketbier,"6,4%",Brouwerij Het Sas,?-heden
Kerkomse Tripel,tripel,9%,Brouwerij Kerkom,2003-2014
Kerstpater,"hoge gisting, kerstbier",9%,Brouwerij Van Den Bossche,2000-heden
Kerstbie,"donker, kerstbier",8%,Brouwerij De Bie,?-?
KerstSmiske,"donker, kerstbier",11%,Brouwerij Smisje,?-?
Kerstvuur,kerstbier,8%,Brouwerij Pirlot,?-heden
Kessel 69,hoge gisting,"6,9%",Brouwerij De Vlier,2008-heden
Kessel Blond,hoge gisting,"7,5%",Brouwerij De Vlier,2008-heden
Keyte,"blond, hoge gisting","7,5%",Brouwerij Strubbe,2004-heden
Keyte-Dobbel-Tripel,"robijnrood, hoge gisting","9,2%",Brouwerij Strubbe,2007-heden
Klets blond,bovengisting,8%,Brouwerij Bier & Karakter,?-?
Klets bruin,bovengisting,"6,5%",Brouwerij Bier & Karakter,?-?
Klets Extra Hop,IPA,8%,Brouwerij Bier & Karakter,?-?
Kleveretien,"hoge gisting, winterbier",10%,Brouwerij Het Nest,2010-heden
Klingse Kalsei,"hoge gisting, streekbier",8%,Brouwerij Van Steenberge,1978-heden
Kloefkapper,tarwebier,"5,7%",Brouwerij 't Paenhuys,?-?
Kloeke Blonde,"hoge gisting, Belgische blonde ale",6%,De Struise Brouwers,?-heden
Klokke Roeland,donker,11.5%,Brouwerij Van Steenberge,?-?
Klooster van Viven,bruin,"6,6%",Beerdevelopment Viven,1999-2003 en 2006-2010
Koantjesbier,hoge gisting,7%,Bierfirma Vacas,?-?
KoekeDam,saison,"6,5%",Brouwerij Het Nest,2014-heden
Koekelaring,hoge gisting,"6,5%",De Hoevebrouwers,?-?
Koeketiene,tripel,"8,5%",Brouwerij Maenhout,2010-heden
Koerseklakske,hoge gisting,"5,5%",Brouwerij 't Gaverhopke,2009-heden
Korsakoff,ongefilterd blond bier,"6,5%",'t Hofbrouwerijke,?-?
Kortrijk-dUtsel,brutbier,"8,5%",Brouwerij Kortrijk-dUtsel,?-?
Kouter Lorem,tripel,"8,8%",Bierfirma Geestrijken van de Kouter,2017-heden
Krab,blonde ale,"5,2%",Scheldebrouwerij,?-?
Kriek Belgique,fruitbier,"3,5%",Brasserie du Bocq,?-?
Kriek Boon,lambiek,"4,5%",Brouwerij Boon,?-?
Kriek Cantillon 100% Lambic,lambiek,"5,5%",Brouwerij Cantillon,?-?
Kriek De Ranke,fruitbier,"4,5%",Brouwerij De Ranke,?-heden
Kriek de Silenrieux,fruitbier,"4,5%",Brasserie de Silenrieux,?-?
Kriek Fantastiek,"fruitbier, roodbruin","4,9%",Brouwerij De Ryck,?-?
Kriek Girardin,lambiek,5%,Brouwerij Girardin,?-heden
Kriek Jacobins,lambiek,"4,5%",Brouwerij Bockor,?-heden
Kriek Lindemans,lambiek,"3,5%",Brouwerij Lindemans,1809-heden
Kriek Mariage Parfait,lambiek,8%,Brouwerij Boon,?-?
Kriekedebie,fruitbier,"4,4%",Brouwerij De Bie,?-?
Kriekenbier,"fruitbier, lage gisting",4%,Brouwerij Sint-Jozef,?-?
Kriekenbier,fruitbier,"4,5%",Brouwerij Strubbe,1996-heden
Kriek Max,fruitbier,"3,2%",Brouwerij Bockor,2002-heden
Kristoffel Blond,"blond, bovengisting",6%,Brouwerij Martens,?-heden
Kristoffel Donker,"donker, bovengisting",6%,Brouwerij Martens,?-heden
Kristoffel Witbier,"witbier, bovengisting",5%,Brouwerij Martens,?-heden
Kwaremont,"blond, hoge gisting","6,6%",Brouwerij Bavik,2010-heden
Kwets,blond tarwebier,"6,8%",Microbrouwerij Paeleman in opdracht van Kwets vzw,2007-heden
Kwibus Blond,"blond, hoge gisting","6,4%",Brouwerij Danny,2008-heden
Kwibus Donker,hoge gisting,"6,4%",Brouwerij Danny,2008-heden
Kwibus Tripel,hoge gisting,"8,5%",Brouwerij Danny,2014-heden
La Barbiot Ambrée,hoge gisting,"9,5%",Brasserie la Barbiot,?-?
La Barbiot Blonde,hoge gisting,8%,Brasserie la Barbiot,?-?
La Binchoise Blonde,"hoge gisting, blond","6,2%",Brouwerij La Binchoise,1987-heden
La Binchoise Brune,hoge gisting,"7,7%",Brouwerij La Binchoise,1987-heden
La Binchoise Organic’ Brune,"hoge gisting, biologisch",7%,Brouwerij La Binchoise,2011-heden
La Binchoise Organic’ Miel,"hoge gisting, biologisch, honingbier","8,5%",Brouwerij La Binchoise,2011-heden
La Binchoise Organic’ Triple,"hoge gisting, biologisch, tripel","8,5%",Brouwerij La Binchoise,2011-heden
La Binchoise Spéciale Noël,"hoge gisting, kerstbier",9%,Brouwerij La Binchoise,?-heden
La Binchoise Triple,"hoge gisting, tripel","8,5%",Brouwerij La Binchoise,?-heden
La Binchoise XO,hoge gisting,12%,Brouwerij La Binchoise,?-heden
La Botteresse Ambrée,hoge gisting,"8,5%",Brasserie la Botteresse de Sur-les-bois,1997-heden
La Botteresse de Noël,"hoge gisting, kerstbier","10,5%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Blonde,hoge gisting,"7,5%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Brune,hoge gisting,"9,5%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse aux cerises,"hoge gisting, fruitbier","5,5%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Ambrée au miel,"hoge gisting, honingbier","8,5%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse aux pommes,"hoge gisting, fruitbier","5,4%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Blanche des Saisis,witbier,"6,2%",Brasserie Ellezelloise,1995-heden
La Bouillonnaise,"bruin, hoge gisting",7%,Brasserie de Bouillon,1998-heden
La Chérie,fruitbier,5%,Brasserie Val de Sambre,
La Chèvenis,hoge gisting,6%,Brasserie de Bouillon,
La Chouffe,"blond, hoge gisting",8%,Brouwerij d'Achouffe,1982-heden
La Corne du Bois des Pendus Blonde,"hoge gisting, blond","5,9%",Brasserie d'Ebly,2010-heden
La Corne du Bois des Pendus Triple,"hoge gisting, triple",7%,Brasserie d'Ebly,2010-heden
La Cré Tonnerre,"hoge gisting, tripel",7%,Brasserie de Silly,?-?
La Divine,"hoge gisting, amber","9,5%",Brasserie de Silly,?-?
La Djean Triple,amber,9%,Brasserie Sainte-Hélène,2005-heden
La Douce Vertus,"hoge gisting, ale",7%,Brasserie Millevertus,?-?
La Fumette,"hoge gisting, Rauchbier","6,5%",Brasserie Millevertus,?-heden
La Gueularde,"hoge gisting, blond",8%,Cafés Preko,?-?
La Grognarde,hoge gisting,"5,5%",Brasserie Sainte-Hélène,?-?
La Guillotine,sterk blond,"8,5%",Brouwerij Huyghe,1989-heden
La Jamboise de Bister,bleek blond,"6,5%",Brouwerij Lefebvre,?-?
La Loubécoise,"donker, hoge gisting",8%,Brasserie d'Ecaussinnes,2004-heden
La Mac Vertus,stout,"4,8%",Brasserie Millevertus,?-?
La Médiévale,"amber, hoge gisting",6%,Brasserie de Bouillon,1998-heden
La Mère Vertus,tripel,7%,Brasserie Millevertus,?-?
La Moneuse,"saison, amber",8%,Brasserie de Blaugies,1988-heden
La Moneuse Spéciale Noël,"saison, bruin, hoge gisting",8%,Brasserie de Blaugies,1993-heden
La Moraipire,tripel,"8,5%",Brasserie Millevertus,?-?
La Namuroise,hoge gisting,7%,Les Artisans Brasseurs,?-?
La Noire Fontaine,hoge gisting,8%,Brasserie de Bouillon,?-?
La Penneffoise,fruitbier,8%,Brasserie d'Ecaussinnes,?-?
La Pils des 3 Canaux,pils,"4,5%",Authentique Brasserie,?-?
La Poiluchette Blonde Cuvéé du Château,hoge gisting,"7,5%",Brouwerij Huyghe,?-?
La Poiluchette Brune,hoge gisting,"7,5%",Brouwerij Huyghe,?-?
La Poirette de Fontaine,"hoge gisting, fruibier","8,5%",Brasserie la Botteresse de Sur-les-bois,?-?
La Prime,"hoge gisting, winterbier","8,5%",Brasserie Sainte-Hélène,?-?
La Rulles Blonde,hoge gisting,7%,Brasserie Artisanale de Rulles,2000-heden
La Rulles Brune,hoge gisting,"6,5%",Brasserie Artisanale de Rulles,2001-heden
La Rulles Cuvée Meilleurs Vœux,"hoge gisting, winterbier","7,3%",Brasserie Artisanale de Rulles,2005-heden
La Rulles Estivale,hoge gisting,"5,2%",Brasserie Artisanale de Rulles,2005-heden
La Rulles La Grande 10,"hoge gisting, Belgian strong pale ale",10%,Brasserie Artisanale de Rulles,
La Rulles Triple,"hoge gisting, tripel","8,4%",Brasserie Artisanale de Rulles,2010-heden
La Safranaise,"hoge gisting, kruidenbier",7%,Brasserie Millevertus,?-?
La Saison des Chasses Ambrée,saison,7%,Brasserie de Bouillon,?-?
La Saison des Chasses Blonde,saison,6%,Brasserie de Bouillon,?-?
La Sambresse Blonde,hoge gisting,8%,Brouwerij Brootcoorens,2003-?
La Spéciale Fêtes,winterbier,"8,5%",Brasserie de Bouillon,?-?
La Trompeuse,hoge gisting,"6,9%",Brasserie Jean Tout Seul,?-heden
La Troufette Belle d'été,hoge gisting,6%,Brasserie de Bastogne,
La Troufette Blonde,hoge gisting,6%,Brasserie de Bastogne,2008-heden
La Troufette Brune,"hoge gisting, winterbier","6,8%",Brasserie de Bastogne,2008-heden
La Troufette Givrée,hoge gisting,8%,Brasserie de Bastogne,?-heden
La Troufette Rousse,hoge gisting,"7,8%",Brasserie de Bastogne,?-heden
La Vauban,abdijbier,6%,Brasserie de Bouillon,?-?
La Vermontoise,saison,6%,Brasserie de Blaugies,?-?
La Waterlootoise,tripel,9%,Brouwerij Van Steenberge,?-?
Lam Gods 33cl,bruin dubbel,"6,8%",Brouwerij Paeleman,2007?-heden
Lam Gods 75cl,bruin dubbel,8%,Brouwerij Paeleman,2007?-heden
L'Amarante,"hoge gisting, kruidenbier",8%,Brasserie Millevertus,?-?
Lambinus,"hoge gisting, honingbier",8%,bierfirma Lesage,2006-heden
